sep=\t	Library Name	Location Name	Call # Begin	Call # End	Image file	Sub-location name	Note display text
#			769.943N	769.952	shelf139.gif	Floor 2	
!!		Brooklyn Stacks					
#			769.952	770L	shelf140.gif	Floor 2	
!!		Brooklyn Stacks					
#			770L	770.5P	shelf141.gif	Floor 2	
!!		Brooklyn Stacks					
#			770.5P	770.973G	shelf142.gif	Floor 2	
!!		Brooklyn Stacks					
#			770.973G	778.6H	shelf143.gif	Floor 2	
!!		Brooklyn Stacks					
#			778.6H	779A	shelf144.gif	Floor 2	
!!		Brooklyn Stacks					
#			779A	779F	shelf145.gif	Floor 2	
!!		Brooklyn Stacks					
#			779F	779M	shelf146.gif	Floor 2	
!!		Brooklyn Stacks					
#			779M	779S	shelf147.gif	Floor 2	
!!		Brooklyn Stacks					
#			779S	780.92C	shelf148.gif	Floor 2	
!!		Brooklyn Stacks					
#			780.92C	784.19H	shelf149.gif	Floor 2	
!!		Brooklyn Stacks					
#			784.19H	791.43015M	shelf150.gif	Floor 2	
!!		Brooklyn Stacks					
#			791.43015M	791.437F	shelf151.gif	Floor 2	
!!		Brooklyn Stacks					
#			791.437F	792.0945N	shelf152.gif	Floor 2	
!!		Brooklyn Stacks					
#			792.0945N	799.99	shelf153.gif	Floor 2	
!!		Brooklyn Stacks					
#			800	808.3G	shelf154.gif	Floor 2M	
!!		Brooklyn Stacks					
#			808.3G	809.1H	shelf155.gif	Floor 2M	
!!		Brooklyn Stacks					
#			809.1H	810.99S	shelf156.gif	Floor 2M	
!!		Brooklyn Stacks					
#			810.99S	811O	shelf157.gif	Floor 2M	
!!		Brooklyn Stacks					
#			811O	812M	shelf158.gif	Floor 2M	
!!		Brooklyn Stacks					
#			812M	813H	shelf159.gif	Floor 2M	
!!		Brooklyn Stacks					
#			813H	814.6P	shelf160.gif	Floor 2M	
!!		Brooklyn Stacks					
#			814.6P	818T	shelf161.gif	Floor 2M	
!!		Brooklyn Stacks					
#			818T	821C	shelf162.gif	Floor 2M	
!!		Brooklyn Stacks					
#			821C	821Y	shelf163.gif	Floor 2M	
!!		Brooklyn Stacks					
#			821Y	822.04F	shelf164.gif	Floor 2M	
!!		Brooklyn Stacks					
#			822.04F	823C	shelf165.gif	Floor 2M	
!!		Brooklyn Stacks					
#			823C	824L	shelf166.gif	Floor 2M	
!!		Brooklyn Stacks					
#			824L	828.08L	shelf167.gif	Floor 2M	
!!		Brooklyn Stacks					
#			828.08L	842H	shelf168.gif	Floor 2M	
!!		Brooklyn Stacks					
#			842H	860F	shelf169.gif	Floor 2M	
!!		Brooklyn Stacks					
#			860F	888.4D	shelf170.gif	Floor 2M	
!!		Brooklyn Stacks					
#			888.4D	895.6B	shelf171.gif	Floor 2M	
!!		Brooklyn Stacks					
#			895.6B	910.28G	shelf172.gif	Floor 2M	
!!		Brooklyn Stacks					
#			910.28G	915.2H	shelf173.gif	Floor 2M	
!!		Brooklyn Stacks					
#			915.2H	917.56M	shelf174.gif	Floor 2M	
!!		Brooklyn Stacks					
#			917.56M	935B	shelf175.gif	Floor 2M	
!!		Brooklyn Stacks					
#			935B	941.081V	shelf176.gif	Floor 2M	
!!		Brooklyn Stacks					
#			941.081V	945.05B	shelf177.gif	Floor 2M	
!!		Brooklyn Stacks					
#			945.05B	952M	shelf178.gif	Floor 2M	
!!		Brooklyn Stacks					
#			952M	965.04F	shelf179.gif	Floor 2M	
!!		Brooklyn Stacks					
#			965.04F	973B	shelf180.gif	Floor 2M	
!!		Brooklyn Stacks					
#			973B	973.3S	shelf181.gif	Floor 2M	
!!		Brooklyn Stacks					
#			973.3S	973.8N	shelf182.gif	Floor 2M	
!!		Brooklyn Stacks					
#			973.8N	974.4M	shelf183.gif	Floor 2M	
!!		Brooklyn Stacks					
#			974.4M	976.4I	shelf184.gif	Floor 2M	
!!		Brooklyn Stacks					
#			976.4I	999.99	shelf185.gif	Floor 2M	
!!		Brooklyn Stacks Oversize					
#			720	730.9485	shelf190.gif	Stacks Floor 2M	
!!		Brooklyn Stacks Oversize					
#			730.9485	759.4	shelf191.gif	Stacks Floor 2M	
!!		Brooklyn Stacks Oversize					
#			759.4	912	shelf192.gif	Stacks Floor 2M	
!!		Brooklyn Stacks Oversize					
#			912	999	shelf193.gif	Stacks Floor 2M		
!!		Technical Services--Brooklyn					
#				999.99	ref.gif		Item may be unavailable. Write down the call number and location to request item at reference desk.
!!		Brooklyn Zine Collection					
#			A	Z	ref.gif		Write down the call number and location to request item at reference desk.
!!		VMR Desk, Lower Level					
#				999.99	vmr_desk.gif		Write down the call number and location to request item at the VMR Desk.
!!		VMR Equipment Loan Office					
#				999.99	equip.gif		Ask for item at the equipment loan office.
!!		VMR Media					
#				999.99	vmr_desk.gif		Request item at VMR Desk on lower level.
!	Pratt Manhattan Center						
!!		Manhattan Center Stacks					
#			000	020.19	PMC_shelf1.gif		
!!		Manhattan Center Stacks					
#			020.19	021.7	PMC_shelf2.gif		
!!		Manhattan Center Stacks					
#			021.7	025	PMC_shelf2-5.gif		
!!		Manhattan Center Stacks					
#			025	025.21	PMC_shelf3.gif		
!!		Manhattan Center Stacks					
#			025.21	025.5	PMC_shelf4.gif		
!!		Manhattan Center Stacks					
#			025.5	025.7	PMC_shelf4-5.gif		
!!		Manhattan Center Stacks					
#			025.7	027.6	PMC_shelf5.gif		
!!		Manhattan Center Stacks					
#			027.6	028.52	PMC_shelf6.gif		
!!		Manhattan Center Stacks					
#			028.52	029.7	PMC_shelf6-5.gif		
!!		Manhattan Center Stacks					
#			029.7	371.35	PMC_shelf7.gif		
!!		Manhattan Center Stacks					
#			371.35	700	PMC_shelf8.gif		
!!		Manhattan Center Stacks					
#			700	709.43	PMC_shelf8-5.gif		
!!		Manhattan Center Stacks					
#			709.43	741.609	PMC_shelf9.gif		
!!		Manhattan Center Stacks					
#			741.609	769.94	PMC_shelf10.gif		
!!		Manhattan Center Stacks					
#			769.94	808	PMC_shelf10-5.gif		
!!		Manhattan Center Stacks					
#			808	999	PMC_shelf11.gif		
!!		Manhattan Center Periodicals					
#			A	Z	PMC_current_periodicals.gif	Pratt Manhattan Current Periodicals	
!!		Manhattan Center Reference					
#			000	999.99	PMC_ref.gif	Pratt Manhattan Reference	
!!		Manhattan Center Fiction					
#			A	Z	PMC_fic.gif	Pratt Manhattan Fiction	
!!		Electronic Items					
#				Z	web_resource.png	This is a digital item. Just click the back button on your browser and look for the link under Connect to near the bottom of the page.	
!!		World Wide Web					
#				Z	web_resource.png	This is a digital item. Just click the back button on your browser and look for the link under Connect to near the bottom of the page.	
