sep=\t	Library Name	Location Name	Call # Begin	Call # End	Image file	Sub-location name	Note display text
#			711_400000000000000_C	711_942000000000000_D	shelf74.gif	Floor 1M	
!!		Brooklyn Stacks					
#			711_942000000000000_D	712_094900000000000	shelf75.gif	Floor 1M	
!!		Brooklyn Stacks					
#			712_094900000000000	720_100000000000000_C	shelf76.gif	Floor 1M	
!!		Brooklyn Stacks					
#			720_100000000000000_C	720_000000000000000_284T	shelf77.gif	Floor 1M	
!!		Brooklyn Stacks					
#			720_000000000000000_284T	720_000000000000000_87A	shelf78.gif	Floor 1M	
!!		Brooklyn Stacks					
#			720_000000000000000_87A	720_000000000000000_942L	shelf79.gif	Floor 1M	
!!		Brooklyn Stacks					
#			720_000000000000000_942L	720_000000000000000_944V	shelf80.gif	Floor 1M	
!!		Brooklyn Stacks					
#			720_000000000000000_944V	720_000000000000000_947K	shelf81.gif	Floor 1M	
!!		Brooklyn Stacks					
#			720_000000000000000_947K	720_000000000000000_952A	shelf82.gif	Floor 1M	
!!		Brooklyn Stacks					
#			720_000000000000000_952A	720_000000000000000_973D	shelf83.gif	Floor 1M	
!!		Brooklyn Stacks					
#			720_000000000000000_973D	720_000000000000000_973L	shelf84.gif	Floor 1M	
!!		Brooklyn Stacks					
#			720_000000000000000_973L	720_000000000000000_973S	shelf85.gif	Floor 1M	
!!		Brooklyn Stacks					
#			720_000000000000000_973S	720_000000000000000_9747D	shelf86.gif	Floor 1M	
!!		Brooklyn Stacks					
#			720_000000000000000_9747D	721_000000000000000_R	shelf87.gif	Floor 1M	
!!		Brooklyn Stacks					
#			721_000000000000000_R	724_000000000000000_1R	shelf88.gif	Floor 1M	
!!		Brooklyn Stacks					
#			724_000000000000000_1R	724_000000000000000_9M	shelf89.gif	Floor 1M	
!!		Brooklyn Stacks					
#			724_000000000000000_9M	725_000000000000000_7P	shelf90.gif	Floor 1M	
!!		Brooklyn Stacks					
#			725_000000000000000_7P	726_000000000000000_7B	shelf91.gif	Floor 1M	
!!		Brooklyn Stacks					
#			726_000000000000000_7B	728_000000000000000_0942S	shelf92.gif	Floor 1M	
!!		Brooklyn Stacks					
#			728_000000000000000_0942S	728_000000000000000_6W	shelf93.gif	Floor 1M	
!!		Brooklyn Stacks					
#			728_000000000000000_6W	728_000000000000000_82094K	shelf94.gif	Floor 1M	
!!		Brooklyn Stacks					
#			728_000000000000000_82094K	730H	shelf95.gif	Floor 1M	
!!		Brooklyn Stacks					
#			730H	730_000000000000000_945P	shelf96.gif	Floor 1M	
!!		Brooklyn Stacks					
#			730_000000000000000_945P	730_973000000000000	shelf97.gif	Floor 1M	
!!		Brooklyn Stacks					
#			730_973000000000000	735_000000000000000_23S	shelf98.gif	Floor 1M	
!!		Brooklyn Stacks					
#			735_000000000000000_23S	738_000000000000000_37B	shelf99.gif	Floor 1M	
!!		Brooklyn Stacks					
#			738_000000000000000_37B	741_000000000000000_A784	shelf100.gif	Floor 1M	
!!		Brooklyn Stacks					
#			741_000000000000000_A784	741_000000000000000_24W	shelf101.gif	Floor 1M	
!!		Brooklyn Stacks					
#			741_000000000000000_24W	741_000000000000000_5973S	shelf102.gif	Floor 1M	
!!		Brooklyn Stacks					
#			741_000000000000000_5973S	741_600000000000000	shelf103.gif	Floor 1M	
!!		Brooklyn Stacks					
#			741_600000000000000	741_000000000000000_6092R	shelf104.gif	Floor 1M	
!!		Brooklyn Stacks					
#			741_000000000000000_6092R	741_000000000000000_66B	shelf105.gif	Floor 1M	
!!		Brooklyn Stacks					
#			741_000000000000000_66B	741_000000000000000_904T	shelf106.gif	Floor 1M	
!!		Brooklyn Stacks					
#			741_000000000000000_904T	741_000000000000000_945B	shelf107.gif	Floor 1M	
!!		Brooklyn Stacks					
